NOME,categoria,codigo_fabricante,descricao,valor
"4X CAPITAL™ qPCR Probe Master Mix LROX, 1000rxn",Bioterch Rabbit,BR0501502 ,"CAPITAL QPCR PROBE MASTER MIX 1000 REACOES DE 20UL. MIX CONTENDO DNTPS, MAGNESIO, TAMPAO 2X, ENZIMA TAQ POLIMERASE HOT START. UTILIZADO PARA DETECCAO POR SONDA DE HIDROLISE EM SINGLEPLEX OU MULTIPLEX. CONTEM CORANTE PASSIVO ROX EM BAIXA CONCENTRACAO. CONTEM 5 X 1 ML CAPITAL QPCR PROBE MASTER MIX.",3000
"4X CAPITAL™ qPCR Green Master Mix LROX, 1000rxn",Bioterch Rabbit,BR0501802,"4X CAPITAL QPCR GREEN MASTER MIX. FORMULACAO ALTAMENTE SENSIVEL E ESPECIFICA PARA AMPLIFICACAO COM EXCELENTE RELACAO SINAL-RUIDO E RAPIDA TAXA DE EXTENSAO. IDEAL PARA DETECCAO DE ALVOS DE BAIXO NUMERO DE COPIAS EM VASTA FAIXA DE CONCENTRACAO DE TEMPLATES. DESEMPENHO PRECISO E ROBUSTO EM ANALISE DE EXPRESSAO GENICA E VARIACAO DO NUMERO DE COPIAS. COMPATIVEL COM PLATAFORMAS DE QPCR PADRAO, LOW ROX. CONTEM 5 X 1 ML DE CAPITAL QPCR GREEN MASTER MIX. 1000 REACOES DE 20 UL.",4185
"4X CAPITAL™ 1-Step qRT-PCR Probe Master Mix LROX, 1000rxn",Bioterch Rabbit,BR0502102,"REAGENTE PARA RT-QPCR CAPITAL QPCR PROBE MASTER MIX ONE-STEP. MIX CONTENDO DNTPS, MAGNESIO, TAMPAO 4X, ENZIMA TAQ POLIMERASE HOT START, TRANSCRIPTASE REVERSA E INIBIDORES DE RNASE. UTILIZADO PARA TRANSCRICAO REVERSA E AMPLIFICACAO EM ETAPA UNICA. DETECCAO POR SONDA DE HIDROLISE EM SINGLEPLEX OU MULTIPLEX. CONTEM CORANTE PASSIVO ROX EM BAIXA CONCENTRACAO. MIX PARA 1000 REACOES DE 20UL. CONTEM 5 X 1 ML CAPITAL QPCR PROBE MASTER MIX (1STEP) LROX E 5 X 200 UL RTASE WITH RNASE INHIBITOR",4000
Stool Collection Tubes with DNA Stabilizer,Invitek,1038111200,"TUBOS DE COLETA DE FEZES COM ESTABILIZADOR DE DNA 50 UND. OS TUBOS DESENVOLVIDOS PARA A COLETA E ESTABILIZACAO DE AMOSTRAS DE FEZES USANDO UM ESTABILIZADOR DE DNA LIQUIDO. AS AMOSTRAS SAO FACILMENTE COLETADAS COM A COLHER INTEGRADA NA TAMPA. O ESTABILIZADOR DE DNA CAUSA A INATIVACAO DAS DNASES, PREVENINDO EFICIENTEMENTE A DEGRADACAO DO DNA. AS BACTERIAS NA AMOSTRA SAO PRE-LISADAS, PRESERVANDO O TITULO DE MICROORGANISMOS NO MOMENTO DA COLETA DA AMOSTRA. AMOSTRAS ESTABILIZADAS PODEM SER ARMAZENADAS POR 3 MESES A TEMPERATURA AMBIENTE. 50 UNIDADES",3510
SalivaGene Swab Comfort ,Invitek,1035231100,"SWAB COLETOR DE SALIVA COM ESTABILIZADOR DE DNA 50 UND. COLETOR DE AMOSTRAS ORAIS HUMANAS POR SWAB, CONTEM TAMPAO ESTABILIZADOR DE DNA. DNA ESTAVEL POR ATE 6 MESES EM TEMPERATURA AMBIENTE. OTIMIZADO PARA EXTRACAO COM KIT PSP SALIVAGENE SPIN. 50 UNIDADES.",3661.2
SalivaGene Collector ,Invitek,1035211200,"KIT PARA COLETA E ESTABILIZACAO DE DNA DE AMOSTRAS DE SALIVA. CONTEM TUBOS COLETORES CONTENDO TAMPAO LIOFILIZADO QUE ESTABILIZA DNA SALIVAR POR ATE 12 MESES EM TEMPERATURA AMBIENTE. IDEAL PARA APLICACOES EM PCR, NGS, HIBRIDIZACAO. KIT COM 50 UNIDADES",7452
InviPrep® Fast Lysis Buffer ,Invitek,1001136100,TAMPAO DE LISE RAPIDA INVIPREP 100 PREPS. PRODUTO DESTINADO A EXTRCAO MANUAL DE DNA DE BACTERIAS E FUNGOS EM MEIO DE CULTURA INDEPENDENTE DE USO DE COLUNAS DE EXTRCAO. 100 PREPARACOES,1155.6
"Luria Bertani Broth, Miller",HiMedia,G1245-500G,"MEIO DE CULTURA LURIA BERTANI, MILLER – CALDO. EMBALAGEM 500G",573.8
YPD Broth (YEPD Broth),HiMedia,M1363-500G,"CALDO YPD (CALDO YEPD),500G. MEIO DE CULTURA YPD (YEPD) BROTH, FORMULADO COM EXTRATO DE LEVEDURA, PEPTONA E DEXTROSE.500G.",1298.2
Sabouraud Dextrose Broth,HiMedia,MH033-500G,"SABOURAUD DEXTROSE BROTH. MEIO DE CULTURA INDICADO PARA CULTIVO DE LEVEDURAS, FUNGOS FILAMENTOSOS E MICRORGANISMOS ACIDURICOS CONFORME METODOLOGIA HARMONIZADA USP/EP/BP/JP. 500 GRAMAS.",456.8
